SubjectID,VideoID,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,predefinedlabel,user-definedlabeln
0.00E+00,0.00E+00,4.70E+01,4.80E+01,6.90E+01,5.77E+05,1.80E+05,2.59E+04,2.16E+04,4.38E+04,4.44E+04,6.92E+04,2.56E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,5.70E+01,4.30E+01,4.40E+01,2.35E+05,8.09E+04,7.99E+03,3.26E+04,1.18E+04,6.37E+04,4.10E+04,1.81E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,5.70E+01,4.00E+01,1.44E+02,6.71E+05,1.33E+05,7.14E+03,1.43E+04,2.34E+04,6.56E+04,4.79E+04,1.65E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.00E+01,4.00E+01,2.50E+01,3.33E+04,1.47E+04,1.10E+04,1.04E+04,1.43E+04,3.71E+04,6.04E+04,3.63E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.40E+01,4.40E+01,-1.38E+02,1.03E+06,2.68E+05,6.73E+04,3.70E+04,1.01E+04,8.08E+04,9.04E+04,2.63E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.70E+01,5.30E+01,2.50E+01,7.56E+05,9.74E+04,5.98E+04,3.22E+04,1.61E+04,5.32E+04,4.46E+04,1.43E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.00E+01,6.60E+01,1.24E+02,8.71E+04,7.20E+03,4.99E+03,2.82E+03,2.13E+03,1.14E+04,9.42E+03,4.92E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,5.70E+01,5.30E+01,4.30E+01,8.03E+05,8.39E+04,3.23E+03,7.90E+03,2.71E+04,1.78E+04,1.89E+04,1.22E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,5.30E+01,5.10E+01,3.50E+01,1.58E+05,2.84E+05,2.73E+04,4.79E+04,1.51E+04,3.82E+04,3.16E+04,1.01E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.10E+01,5.00E+01,1.19E+02,6.13E+05,7.58E+05,2.46E+05,1.32E+05,2.66E+04,8.38E+04,9.45E+04,5.61E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.70E+01,3.70E+01,3.70E+01,6.03E+05,4.73E+04,3.22E+03,2.81E+03,1.86E+03,7.21E+03,7.88E+03,1.52E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.90E+01,5.00E+01,1.02E+02,2.35E+05,1.83E+05,5.40E+04,3.13E+04,1.96E+04,6.71E+04,2.94E+04,2.14E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,3.00E+01,3.50E+01,2.40E+01,1.88E+05,1.45E+05,3.55E+03,5.54E+03,1.64E+04,2.24E+04,1.47E+04,7.34E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,3.70E+01,2.10E+01,-5.10E+01,6.33E+05,1.62E+05,1.27E+04,3.99E+03,5.85E+03,2.30E+04,2.26E+04,9.85E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,3.00E+01,4.10E+01,6.10E+01,4.78E+05,2.64E+05,2.18E+05,7.64E+04,2.22E+04,3.89E+04,6.70E+04,4.26E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.60E+01,4.30E+01,2.90E+02,7.31E+05,6.91E+04,2.33E+04,9.02E+03,4.77E+03,1.29E+04,1.82E+04,2.11E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.00E+01,5.60E+01,-2.10E+01,1.10E+06,6.73E+05,7.47E+04,9.32E+04,6.70E+04,5.02E+04,8.84E+04,3.10E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.00E+01,6.70E+01,4.00E+00,1.97E+06,1.85E+05,4.12E+04,2.18E+04,7.83E+03,3.55E+04,2.22E+04,2.39E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,3.50E+01,4.80E+01,-1.56E+02,1.36E+06,3.16E+05,6.16E+04,1.85E+04,1.87E+05,1.71E+05,6.01E+04,1.89E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.80E+01,4.80E+01,-2.20E+01,6.38E+05,3.04E+04,2.15E+04,1.00E+04,1.29E+04,5.28E+04,2.06E+04,1.77E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.30E+01,5.10E+01,3.00E+00,4.23E+05,1.28E+05,7.03E+04,5.49E+03,2.29E+04,7.09E+04,2.27E+04,7.38E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.10E+01,5.30E+01,0.00E+00,5.85E+05,2.38E+05,7.16E+04,4.73E+04,5.88E+04,3.76E+04,5.00E+04,2.74E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,5.40E+01,6.70E+01,1.86E+02,1.10E+06,8.36E+04,6.89E+04,1.22E+04,4.44E+04,3.20E+04,8.69E+04,3.34E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,5.10E+01,5.00E+01,4.00E+01,4.80E+05,2.07E+05,1.17E+04,5.01E+03,7.89E+03,1.22E+05,4.79E+04,6.96E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,5.70E+01,5.00E+01,8.80E+01,4.84E+04,6.38E+03,2.89E+03,4.67E+03,4.02E+03,1.04E+04,9.81E+03,2.28E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.90E+01,5.60E+01,2.60E+01,9.31E+03,1.52E+04,1.79E+04,1.76E+04,1.17E+04,2.49E+04,1.23E+04,2.21E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,8.00E+01,5.40E+01,-7.00E+00,2.53E+05,4.18E+04,2.36E+04,1.90E+04,1.54E+04,5.21E+04,2.86E+04,1.04E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.70E+01,5.10E+01,9.10E+01,1.95E+05,6.56E+04,5.12E+02,2.61E+03,6.60E+03,9.15E+03,1.21E+04,6.34E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.90E+01,4.70E+01,8.00E+01,1.84E+04,2.63E+04,2.16E+03,1.59E+04,2.43E+04,4.52E+04,1.64E+04,1.38E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.70E+01,3.40E+01,3.90E+01,1.17E+04,3.53E+04,6.06E+03,1.25E+04,2.42E+04,5.46E+04,2.14E+04,9.91E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.60E+01,4.30E+01,1.00E+01,2.33E+05,3.07E+04,4.37E+04,3.20E+04,1.43E+04,1.98E+04,2.59E+04,9.47E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.00E+01,6.30E+01,1.03E+02,1.51E+05,1.49E+04,3.80E+03,3.33E+03,2.29E+03,4.46E+03,7.05E+03,1.67E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.40E+01,6.90E+01,7.40E+01,1.88E+04,6.58E+03,1.10E+04,5.62E+03,7.64E+03,3.08E+04,1.37E+04,9.25E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.90E+01,8.00E+01,2.40E+01,3.42E+05,3.30E+04,3.08E+04,1.61E+04,5.03E+03,5.18E+04,3.05E+04,1.32E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,9.00E+01,6.30E+01,5.30E+01,8.59E+03,4.72E+03,3.32E+03,8.46E+03,1.59E+04,3.86E+04,7.07E+03,7.28E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,9.00E+01,6.00E+01,8.70E+01,2.57E+05,9.44E+04,9.80E+03,2.02E+04,2.17E+04,2.68E+04,3.27E+04,1.03E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.70E+01,6.10E+01,8.90E+01,2.29E+04,2.90E+04,1.53E+04,1.30E+04,9.14E+03,1.54E+04,4.59E+04,4.48E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,8.10E+01,5.70E+01,-4.00E+01,8.66E+03,9.10E+03,1.30E+04,1.41E+04,1.90E+04,3.77E+04,2.74E+04,1.21E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.00E+01,5.70E+01,1.10E+01,9.16E+04,2.39E+04,4.92E+03,3.25E+03,2.30E+03,2.20E+04,7.51E+03,2.78E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.70E+01,6.00E+01,-2.00E+01,5.80E+05,1.48E+05,7.50E+04,1.37E+04,3.60E+04,1.01E+05,2.76E+04,1.16E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,8.40E+01,5.10E+01,-3.30E+01,1.31E+05,1.44E+04,2.27E+03,4.23E+03,2.40E+03,1.72E+04,6.48E+03,4.70E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.50E+01,4.30E+01,1.00E+01,3.37E+05,9.84E+04,5.40E+03,1.90E+04,1.41E+04,3.38E+04,5.70E+04,1.42E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.70E+01,4.80E+01,1.08E+02,4.93E+04,2.86E+04,1.08E+04,1.87E+04,1.12E+04,5.32E+04,7.52E+04,6.42E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,8.40E+01,4.30E+01,4.50E+01,9.54E+04,1.10E+04,2.89E+03,1.34E+03,1.40E+03,1.62E+04,1.26E+04,3.15E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,9.40E+01,4.30E+01,2.50E+01,1.23E+05,5.57E+03,1.19E+03,1.27E+04,7.27E+03,5.83E+04,2.08E+04,1.24E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,1.00E+02,4.40E+01,7.40E+01,7.11E+04,1.98E+04,7.46E+03,2.18E+03,1.91E+04,1.66E+04,1.63E+04,1.48E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,1.00E+02,4.10E+01,3.70E+01,7.44E+04,1.72E+04,1.56E+04,4.89E+03,2.25E+04,4.26E+04,7.01E+04,1.58E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,1.00E+02,4.70E+01,-1.56E+02,5.89E+04,3.74E+04,1.69E+04,2.14E+04,2.64E+04,5.91E+04,3.42E+04,1.66E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.50E+01,5.30E+01,-1.20E+01,9.00E+04,7.96E+04,8.33E+03,4.39E+04,2.17E+04,2.17E+04,2.02E+04,1.29E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,8.80E+01,5.60E+01,6.80E+01,8.75E+03,7.07E+03,6.77E+03,1.81E+04,6.61E+03,9.07E+04,3.57E+04,3.31E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,8.10E+01,6.00E+01,4.40E+01,2.01E+05,6.59E+03,1.70E+03,2.63E+03,1.26E+03,6.10E+03,2.10E+03,4.11E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,8.80E+01,5.10E+01,9.20E+01,4.21E+03,1.74E+04,3.74E+03,5.61E+03,8.08E+03,4.80E+04,1.59E+04,4.62E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,1.00E+02,5.70E+01,4.20E+01,2.85E+04,1.95E+03,2.09E+04,2.22E+04,1.02E+04,4.42E+04,3.38E+04,1.64E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,8.70E+01,5.60E+01,1.09E+02,2.35E+05,3.61E+04,6.23E+03,6.56E+03,1.35E+04,1.58E+04,5.62E+04,1.05E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,9.00E+01,5.60E+01,4.30E+01,1.54E+04,1.23E+04,6.75E+03,1.56E+04,2.21E+04,3.04E+04,6.33E+03,1.08E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,8.00E+01,6.70E+01,1.38E+02,2.29E+03,1.04E+04,1.10E+04,6.22E+03,1.38E+04,1.52E+04,9.63E+03,6.08E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,8.30E+01,6.00E+01,3.70E+01,1.80E+05,1.01E+04,6.60E+03,8.62E+03,8.67E+03,2.89E+04,2.09E+04,1.05E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.70E+01,6.30E+01,2.00E+01,9.11E+04,2.59E+04,8.05E+03,2.30E+03,3.60E+03,6.46E+03,4.61E+03,4.99E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,8.00E+01,5.30E+01,5.00E+00,2.44E+03,3.14E+04,5.93E+03,4.54E+03,1.87E+04,5.34E+04,9.84E+03,9.84E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.50E+01,5.10E+01,3.30E+01,2.26E+05,3.86E+04,8.62E+03,2.51E+04,2.74E+04,1.67E+04,2.56E+04,1.14E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.40E+01,4.40E+01,-8.90E+01,1.18E+05,8.18E+04,1.27E+04,7.45E+03,1.18E+04,3.40E+04,1.35E+04,2.30E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.50E+01,3.80E+01,1.44E+02,6.86E+04,7.29E+04,5.92E+03,1.42E+04,1.16E+04,5.43E+04,3.74E+04,1.39E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.60E+01,4.70E+01,4.30E+01,7.83E+04,5.20E+04,6.47E+03,1.63E+04,6.31E+03,3.50E+04,3.45E+04,1.52E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.90E+01,3.80E+01,-1.97E+02,2.42E+05,1.36E+05,1.36E+04,3.13E+04,2.20E+04,6.79E+04,2.35E+04,1.86E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.70E+01,4.80E+01,1.80E+01,1.91E+05,3.59E+04,1.36E+04,3.02E+04,6.43E+03,6.11E+04,2.72E+04,9.60E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,8.10E+01,5.00E+01,5.80E+01,5.25E+03,1.94E+04,4.17E+03,6.99E+03,4.89E+03,3.97E+04,4.83E+04,2.28E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,8.70E+01,4.40E+01,-1.00E+02,1.17E+05,5.66E+04,7.45E+03,1.50E+04,2.18E+04,6.21E+04,4.83E+04,1.79E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.70E+01,4.40E+01,-5.70E+01,3.95E+05,8.70E+04,1.81E+03,1.47E+04,3.26E+03,1.07E+04,2.34E+04,7.63E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.90E+01,4.00E+01,2.00E+01,1.03E+05,1.22E+05,2.90E+04,2.03E+04,1.54E+04,5.17E+04,1.75E+04,2.43E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,5.60E+01,4.30E+01,8.50E+01,3.24E+05,1.40E+05,2.01E+04,2.64E+04,1.03E+04,4.71E+04,6.43E+04,7.89E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,5.70E+01,5.10E+01,2.59E+02,1.91E+04,1.30E+04,7.71E+03,1.63E+04,1.29E+04,4.20E+04,4.73E+04,1.28E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.00E+01,4.30E+01,1.10E+01,3.07E+05,6.34E+04,2.70E+03,3.01E+03,6.97E+03,8.48E+03,1.09E+04,3.73E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,5.70E+01,3.80E+01,-1.70E+01,7.97E+05,2.74E+04,5.78E+03,2.48E+03,1.96E+04,9.64E+03,1.21E+04,3.23E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.00E+01,4.00E+01,8.60E+01,4.20E+04,5.54E+04,1.46E+04,1.06E+04,6.79E+03,2.28E+04,1.90E+04,2.33E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,5.40E+01,4.00E+01,3.41E+02,3.56E+04,2.97E+04,8.14E+03,1.24E+04,1.54E+04,2.73E+04,1.37E+04,1.50E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.00E+01,4.30E+01,-8.00E+00,1.47E+05,1.75E+04,1.90E+03,7.74E+02,1.71E+03,4.70E+03,1.92E+03,1.79E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.30E+01,4.80E+01,1.14E+02,2.38E+05,8.43E+04,2.58E+04,2.26E+04,2.38E+04,5.99E+04,1.97E+04,2.99E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.90E+01,4.80E+01,5.80E+01,5.29E+03,1.76E+04,8.72E+03,6.95E+03,4.45E+03,2.77E+04,2.93E+04,1.03E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.50E+01,4.40E+01,3.00E+00,1.04E+04,1.99E+04,2.26E+03,1.03E+04,1.85E+04,2.76E+04,3.71E+04,1.33E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,8.80E+01,4.80E+01,5.10E+01,8.67E+03,9.61E+03,3.76E+03,2.98E+03,9.85E+03,2.46E+04,1.52E+04,6.99E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,8.40E+01,5.30E+01,5.40E+01,1.58E+05,4.97E+04,2.64E+04,6.89E+03,4.90E+03,2.40E+04,1.33E+04,8.29E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,8.70E+01,5.70E+01,4.90E+01,5.66E+03,3.50E+03,8.72E+03,1.40E+04,1.23E+04,2.37E+04,1.81E+04,1.30E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.00E+01,5.30E+01,4.20E+01,4.53E+05,4.24E+04,4.00E+03,1.22E+03,2.33E+03,5.72E+03,8.47E+03,1.18E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.70E+01,5.70E+01,1.20E+01,7.07E+03,1.38E+04,6.20E+03,8.10E+03,5.01E+03,3.00E+04,6.79E+04,1.69E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.60E+01,6.00E+01,1.01E+02,1.89E+05,9.31E+04,5.61E+04,1.37E+04,1.87E+04,3.15E+04,3.93E+04,1.45E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.00E+01,6.10E+01,-3.30E+01,1.28E+04,1.91E+04,2.02E+04,1.22E+04,1.03E+04,1.97E+04,3.17E+04,3.21E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,7.00E+01,8.00E+01,1.08E+02,3.57E+05,2.82E+04,5.57E+04,3.30E+04,8.06E+03,6.37E+04,5.04E+04,4.11E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,5.40E+01,7.40E+01,-3.90E+01,4.98E+05,1.11E+05,6.54E+03,1.20E+04,6.09E+03,1.60E+04,2.11E+04,5.20E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.30E+01,5.30E+01,4.00E+01,3.44E+05,1.03E+05,6.20E+03,4.59E+03,2.14E+04,6.93E+04,5.40E+04,1.41E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,5.70E+01,5.00E+01,5.30E+01,3.50E+05,1.04E+05,2.60E+04,4.32E+04,2.51E+04,3.14E+04,8.42E+04,1.42E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,5.10E+01,4.00E+01,7.20E+01,3.55E+05,3.02E+04,1.25E+04,3.20E+03,9.05E+03,1.33E+04,2.16E+04,3.05E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,6.70E+01,4.30E+01,-4.50E+01,5.64E+05,1.40E+05,3.12E+04,3.21E+04,3.01E+04,1.68E+05,5.37E+04,1.85E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,5.10E+01,6.40E+01,3.27E+02,6.56E+05,9.09E+04,5.17E+04,1.21E+04,1.02E+04,1.24E+04,1.79E+04,1.22E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.80E+01,6.40E+01,4.00E+01,1.63E+05,1.45E+04,8.46E+03,1.70E+03,3.48E+03,3.60E+03,2.62E+03,3.27E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,5.40E+01,6.70E+01,-2.50E+01,1.28E+05,4.45E+04,2.15E+04,3.64E+04,3.55E+04,6.09E+04,4.56E+04,4.79E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,4.00E+01,6.60E+01,1.53E+02,6.22E+05,1.20E+05,1.85E+04,9.41E+03,1.62E+04,1.88E+04,1.78E+04,9.74E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,3.80E+01,6.40E+01,2.00E+02,2.52E+06,4.34E+05,2.29E+05,4.47E+04,1.09E+05,4.47E+04,1.17E+05,3.49E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,3.80E+01,7.50E+01,1.21E+02,4.82E+05,6.06E+03,5.42E+03,8.74E+03,1.90E+03,3.28E+03,7.69E+03,1.37E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.10E+01,7.00E+01,1.40E+02,2.20E+06,3.11E+05,7.86E+04,3.26E+04,2.39E+04,2.91E+04,1.23E+05,3.28E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.00E+01,8.10E+01,2.75E+02,1.45E+05,7.60E+04,3.12E+04,2.02E+04,1.44E+04,1.40E+04,1.52E+04,1.50E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.10E+01,7.00E+01,8.80E+01,7.48E+05,1.19E+05,1.54E+04,9.81E+03,5.25E+03,1.10E+04,2.51E+04,1.61E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.40E+01,6.70E+01,3.80E+01,1.14E+06,1.15E+05,1.48E+05,2.81E+04,1.59E+04,6.60E+04,7.29E+04,1.40E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.60E+01,7.50E+01,1.13E+02,2.72E+06,2.70E+05,3.70E+04,1.83E+05,7.56E+04,3.84E+04,5.02E+04,2.65E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.60E+01,7.80E+01,6.50E+01,8.12E+05,1.56E+05,1.21E+05,4.95E+04,2.26E+04,3.42E+04,4.85E+04,1.60E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.90E+01,8.70E+01,1.08E+02,1.05E+06,1.44E+05,4.82E+04,1.96E+04,1.97E+04,2.20E+04,6.12E+04,1.25E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.40E+01,6.60E+01,-6.60E+01,2.25E+06,5.79E+05,3.75E+04,3.52E+04,3.52E+04,8.55E+04,2.20E+05,5.82E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,3.40E+01,6.90E+01,-1.86E+02,2.51E+06,8.99E+04,4.27E+04,1.32E+05,5.53E+04,6.29E+04,6.84E+04,2.65E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,3.00E+01,7.80E+01,8.50E+01,1.83E+06,1.70E+05,5.56E+05,1.39E+05,5.19E+04,8.17E+04,1.06E+05,6.75E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.90E+01,8.30E+01,2.50E+01,2.03E+06,2.94E+05,1.25E+05,8.87E+04,4.88E+04,4.57E+04,9.13E+04,1.23E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.40E+01,9.10E+01,1.08E+02,9.46E+05,1.35E+05,3.22E+04,1.08E+04,4.27E+03,1.41E+04,4.22E+04,7.15E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,1.30E+01,7.80E+01,1.02E+02,7.35E+05,1.36E+05,1.44E+04,1.47E+04,8.00E+03,1.02E+04,2.31E+04,8.24E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,1.30E+01,5.70E+01,2.20E+01,2.00E+06,1.03E+06,1.25E+05,2.35E+05,7.71E+04,1.15E+05,2.22E+05,8.41E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,1.30E+01,5.40E+01,-9.10E+01,5.01E+05,1.35E+05,4.37E+03,7.58E+04,3.50E+04,1.82E+04,3.68E+04,1.90E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,1.70E+01,6.00E+01,7.30E+01,9.39E+04,5.49E+04,2.43E+04,6.99E+03,3.55E+03,1.31E+04,9.31E+03,2.97E+03,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.60E+01,7.00E+01,3.60E+01,1.96E+06,3.13E+05,1.97E+05,5.44E+04,3.21E+04,9.30E+04,1.65E+05,3.47E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.10E+01,7.70E+01,1.69E+02,2.71E+06,5.07E+05,1.10E+05,1.90E+05,5.06E+04,4.23E+04,1.18E+05,3.09E+04,0.00E+00,0.00E+00
0.00E+00,0.00E+00,2.30E+01,7.00E+01,-1.10E+01,1.00E+06,1.40E+05,2.85E+04,5.05E+03,4.16E+03,1.52E+04,3.69E+04,6.09E+03,0.00E+00,0.00E+00
